url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,number_of_bedrooms,livable_surface,number_of_bathrooms,number_of_toilets,type_of_heating,number_of_facades,number_of_floors,garden,garden_orientation,terrace,total_land_surface,buildable_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd36294,marchienne-au-pont,VBD36294,219 000 €,,No,To renovate,,,6,185 m²,1,1,Gas,2,,Yes,,Yes,,,Yes,Yes,359 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbd36628,mont-sur-marchienne,VBD36628,269 000 €,899 €,No,,,,3,167 m²,1,1,Gas,3,,Yes,,Yes,314 m²,,Yes,Yes,522 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd37168,marcinelle,VBD37168,350 000 €,,No,,No,,7,400 m²,1,,Gas,3,,Yes,,Yes,1221 m²,,,,446 kWh/m²/year,20230628014348,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd36684,gosselies,VBD36684,299 000 €,699 €,No,To renovate,,1874,7,289 m²,1,3,Gas,3,4,Yes,,No,895 m²,,Yes,,208 kWh/m²/year,,"yes, certificate in accordance",,,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6000/charleroi/vbd37473,charleroi,VBD37473,300 000 €,,No,,No,,3,494 m²,2,2,Fuel oil,2,,Yes,,Yes,392 m²,256 m²,Yes,Yes,182 kWh/m²/year,,Not applicable,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vbd37824,charleroi,VBD37824,26 000 000 €,,No,,,,,,,,,2,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbd37817,monceau-sur-sambre,VBD37817,99 900 €,252 €,No,To renovate,,1899,1,74 m²,1,,,2,,Yes,,Yes,188 m²,,,Yes,482 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vwd15202,montignies-sur-sambre,VWD15202,195 000 €,416 €,No,Normal,No,,4,150 m²,2,,Gas,3,,Yes,South-east,Yes,490 m²,,Yes,Yes,358 kWh/m²/year,20251006023983,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd38201,gilly,VBD38201,95 000 €,386 €,No,To be renovated,No,,2,120 m²,1,1,Gas,2,1,Yes,,No,240 m²,,,,496 kWh/m²/year,20250730007780,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd38115,gosselies,VBD38115,145 000 €,,No,Normal,,,2,102 m²,1,1,Gas,2,,Yes,,Yes,114 m²,,Yes,Yes,,,,,(information not available),(information not available)
