url,postal_code,municipality,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,surface_of_living_room,cellar,garage,number_of_garages,surface_kitchen,number_of_bathrooms,number_of_toilets,solar_panels,type_of_heating,type_of_glazing,alarm,elevator,access_for_disabled,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,surface_garden,terrace,surface_terrace,total_land_surface,ground_depth,terrain_width_at_the_roadside,sewer_connection,gas,rain_water_tank,specific_primary_energy_consumption,yearly_total_primary_energy_consumption,validity_date_epc_peb,co2_emission,certification_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/master-house/for-sale/1020/laken/vbd16919,1020,laken,VBD16919,350 000 €,No,To renovate,,,4,16 m²,16 m²,15 m²,17 m²,267 m²,25 m²,Yes,,,18 m²,3,3,,Gas,,,No,No,South,2,,,,Yes,14 m²,Yes,28 m²,148 m²,,,Yes,Yes,Yes,424 kWh/m²/year,172755 kWh/year,,84,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd17413,1020,laken,VBD17413,295 000 €,No,To be renovated,No,,5,,,,,185 m²,,,,,,1,2,,,,,No,,,,5 m,3,,No,,No,,55 m²,12 m,,,Yes,,481 kWh/m²/year,,,,Not applicable,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbd20872,1120,neder-over-heembeek,VBD20872,299 000 €,No,To be renovated,No,On contract,3,16 m²,12 m²,16 m²,,120 m²,28 m²,Yes,,,13 m²,1,1,,,Double glass,,No,No,North,2,,2,,Yes,56 m²,No,,120 m²,,,Yes,Yes,,490 kWh/m²/year,61047 kWh/year,27/08/2035,98,"No, certificate does not comply",Yes,Yes,No,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd21730,1020,laken,VBD21730,439 000 €,No,Normal,,On contract,3,25 m²,18 m²,14 m²,,142 m²,25 m²,Yes,,,15 m²,2,2,,Gas,Double glass,,No,No,South-west,2,,2,,Yes,70 m²,Yes,20 m²,130 m²,,,Yes,Yes,,261 kWh/m²/year,,02/09/2035,51,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/1000/brussels/vbd21740,1000,brussels,VBD21740,1 150 000 €,No,Normal,Yes,On contract,5,25 m²,18 m²,16 m²,16 m²,380 m²,40 m²,,Yes,1,23 m²,4,4,,Gas,Double glass,,No,No,East,2,5 m,3,,No,,Yes,15 m²,85 m²,,,Yes,Yes,,266 kWh/m²/year,,,53,"No, certificate does not comply",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc62155,1000,brussels,VBC62155,308 000 €,No,To renovate,,,4,18 m²,18 m²,18 m²,10 m²,160 m²,,Yes,,,,1,1,,Gas,Double glass,,No,No,,2,,3,,No,,Yes,,50 m²,,,,,,316 kWh/m²/year,55112 kWh/year,13/12/2025,67,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd22885,1000,brussels,VBD22885,3 150 000 €,No,,No,,,,,,,1300 m²,,,,,,,,,Not specified,,,,,,2,,,,No,,No,,125 m²,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd23119,1000,brussels,VBD23119,895 000 €,No,Normal,,On contract,2,13 m²,12 m²,,,175 m²,,Yes,,,6 m²,,1,,Gas,,Yes,No,No,,2,8 m,4,,,,No,,85 m²,6 m,8 m,Yes,,,,,,,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd23469,1000,brussels,VBD23469,1 350 000 €,No,To be renovated,No,Immediately,6,14 m²,14 m²,14 m²,14 m²,540 m²,30 m²,Yes,Yes,1,,5,5,,,Double glass,,No,No,West,2,6 m,5,,No,,Yes,25 m²,111 m²,,6 m,Yes,Yes,,,,,,No certificate,No,No,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vbd23952,1130,haren,VBD23952,345 000 €,No,Normal,No,,3,,,,,160 m²,30 m²,,,,,1,1,,Gas,,,No,,North-west,3,,2,,Yes,145 m²,Yes,,210 m²,,,,,,674 kWh/m²/year,,,133,"No, certificate does not comply",,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbd24451,1000,brussels,VBD24451,895 000 €,No,Normal,,On contract,2,13 m²,12 m²,,,175 m²,,Yes,,,6 m²,,1,,Gas,,Yes,No,No,,2,8 m,4,,,,No,,85 m²,6 m,8 m,Yes,,,,,,,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd24477,1000,brussels,VBD24477,1 600 000 €,No,,No,,3,,,,,371 m²,45 m²,,Yes,1,,1,,Yes,Gas,,,,,South,2,,,,No,,Yes,20 m²,,,,,,,139 kWh/m²/year,,,27,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/1000/brussels/vbd26552,1000,brussels,VBD26552,750 000 €,No,Fully renovated,,,2,24 m²,25 m²,,,181 m²,,Yes,,,,2,3,,Gas,Double glass,,Yes,No,,2,6 m,5,,Yes,1 m²,Yes,6 m²,63 m²,11 m,6 m,,,,423 kWh/m²/year,423 kWh/year,,85,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/vwd14892,1130,haren,VWD14892,585 000 €,No,Excellent,No,On contract,3,25 m²,20 m²,20 m²,,217 m²,50 m²,Yes,Yes,,50 m²,1,,No,Gas,Triple glass,No,No,,East,2,,,2,Yes,40 m²,Yes,15 m²,240 m²,,,Yes,Yes,Yes,47 kWh/m²/year,10355 kWh/year,08/03/2022,,"yes, certificate in accordance",Yes,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd27112,1020,laken,VBD27112,345 000 €,No,To be renovated,No,,4,,,,,200 m²,55 m²,,,,,1,1,,Gas,,,No,,,2,6 m,2,,Yes,52 m²,Yes,,122 m²,22 m,,,,,542 kWh/m²/year,,,1090,Not applicable,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbd27492,1000,brussels,VBD27492,950 000 €,No,Normal,,,3,,,,,209 m²,,,,,,3,3,,Gas,Double glass,Yes,No,,,2,,4,,No,,Yes,13 m²,,,,,Yes,,165 kWh/m²/year,,,32,"yes, certificate in accordance",,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/rbu31861,1130,haren,RBU31861,519 000 €,No,Normal,,,4,,,,,238 m²,,No,Yes,1,,1,,,Fuel oil,Double glass,,No,No,,,,,,Yes,125 m²,Yes,,255 m²,,,,,,230 kWh/m²/year,,,,No certificate,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd27735,1020,laken,VBD27735,775 000 €,,New,No,,4,20 m²,16 m²,10 m²,10 m²,270 m²,58 m²,Yes,Yes,1,,3,3,,,,Yes,No,No,,3,,2,,Yes,,Yes,7 m²,,,,Yes,Yes,,,,,,"yes, certificate in accordance",,,,no flooding area,(information not available)
