Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of building,Url
RWC39588,antwerp,2040,408050.0,house,residence,standard,3.0,515.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2040/antwerp/rwc39588
RWC39589,wilrijk,2610,408050.0,house,residence,standard,3.0,320.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rwc39589
RWC39590,ekeren,2180,408050.0,house,residence,standard,3.0,792.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rwc39590
RWC39597,antwerp,2040,393050.0,house,villa,standard,3.0,420.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/villa/for-sale/2040/antwerp/rwc39597
RWC39591,merksem,2170,402050.0,house,residence,standard,3.0,306.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rwc39591
RBU15699,antwerp,2060,549000.0,house,master-house,standard,3.0,,0,0,0,,10.0,,0,Normal,https://immovlan.be/en/detail/master-house/for-sale/2060/antwerp/rbu15699
RBU15698,antwerp,2060,599000.0,house,residence,standard,4.0,,0,0,0,,10.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu15698
RBU11482,merksem,2170,449000.0,house,residence,standard,4.0,183.0,0,0,0,,125.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu11482
RBU15989,deurne,2100,399000.0,house,residence,standard,4.0,162.0,0,0,0,,71.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15989
RBU15987,deurne,2100,249000.0,house,residence,standard,2.0,109.0,0,0,0,,45.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15987
RBU15990,deurne,2100,499000.0,house,residence,standard,3.0,180.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu15990
RBU16052,deurne,2100,375000.0,house,residence,standard,3.0,193.0,0,0,0,,18.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16052
RBU16378,antwerp,2060,215000.0,house,residence,standard,3.0,158.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu16378
RBU16016,deurne,2100,299000.0,house,residence,standard,3.0,112.0,0,0,0,,40.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16016
RBU16393,antwerp,2000,750000.0,house,master-house,standard,6.0,222.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/master-house/for-sale/2000/antwerp/rbu16393
RBU16406,antwerp,2030,175000.0,house,residence,standard,2.0,200.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbu16406
RBU16409,antwerp,2020,329000.0,house,residence,standard,3.0,132.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16409
RBU16419,borgerhout,2140,399000.0,house,residence,standard,4.0,262.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu16419
RBU16422,antwerp,2060,399000.0,house,residence,standard,5.0,168.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu16422
RBU16433,antwerp,2018,340000.0,house,residence,standard,4.0,181.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16433
RBU16437,berchem,2600,490000.0,house,master-house,standard,5.0,250.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/master-house/for-sale/2600/berchem/rbu16437
RBU16440,antwerp,2018,549000.0,house,residence,standard,3.0,228.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16440
RBU33137,antwerp,2018,735000.0,house,residence,standard,3.0,140.0,0,0,0,,,,0,New,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu33137
RBU32914,deurne,2100,424000.0,house,residence,standard,3.0,162.0,0,0,0,,70.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu32914
RBU33253,antwerp,2060,349900.0,house,residence,standard,2.0,144.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu33253
RBU25591,deurne,2100,324900.0,house,residence,standard,3.0,145.0,0,0,0,,30.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu25591
RBU32050,hoboken,2660,335000.0,house,residence,standard,2.0,135.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu32050
RBU32240,antwerp,2060,1680000.0,house,residence,standard,7.0,504.0,0,0,0,,116.0,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu32240
RBU33831,antwerp,2000,999999.0,house,master-house,standard,3.0,218.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/master-house/for-sale/2000/antwerp/rbu33831
RBU34028,merksem,2170,239000.0,house,residence,standard,2.0,89.0,0,0,0,,27.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu34028
RBU34401,antwerp,2000,815000.0,house,residence,standard,6.0,220.0,0,0,0,,,,0,Excellent,https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbu34401
RBU34266,antwerp,2000,375000.0,house,residence,standard,4.0,216.0,0,0,0,,17.0,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2000/antwerp/rbu34266
RBU34578,borgerhout,2140,225000.0,house,residence,standard,2.0,72.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu34578
RBU36273,ekeren,2180,349000.0,house,residence,standard,3.0,172.0,0,0,0,,370.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu36273
RBU36611,ekeren,2180,595000.0,house,residence,standard,5.0,230.0,0,0,0,,,,0,New,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu36611
RBU37374,antwerp,2060,429000.0,house,master-house,standard,4.0,178.0,0,0,0,,20.0,,0,Normal,https://immovlan.be/en/detail/master-house/for-sale/2060/antwerp/rbu37374
RBU36667,antwerp,2060,324000.0,house,residence,standard,3.0,127.0,0,0,0,,,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbu36667
RBU37490,wilrijk,2610,,house,residence,standard,4.0,229.0,0,0,0,,,,0,To renovate,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu37490
RBU37615,hoboken,2660,475000.0,house,residence,standard,4.0,201.0,0,0,0,,45.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu37615
RBU35912,merksem,2170,379000.0,house,residence,standard,4.0,162.0,0,0,0,,21.0,,0,Normal,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu35912
RBU38429,antwerp,2140,319000.0,house,residence,standard,3.0,133.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rbu38429
RBU23754,antwerp,2018,365000.0,house,residence,standard,6.0,212.0,0,0,0,,,,0,,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu23754
RBU23847,wilrijk,2610,299000.0,house,residence,standard,3.0,155.0,0,0,0,,,,0,To be renovated,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu23847
