url,municipality_url,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,number_of_bathrooms,number_of_toilets,elevator,floor_of_appartment,number_of_facades,frontage_width,garden,terrace,surface_terrace,ground_depth,gas,running_water,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,cadastral_income,garage,orientation_of_the_front_facade,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_as_build_,build_year,type_of_heating,type_of_glazing,air_conditioning,alarm,access_for_disabled,balcony,the_property_and_or_its_surroundings_are_protected_
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd23695,charleroi,VBD23695,168000,0,,0,,3,117,,1,,,2,2,,,,,,,,,,,,,,,,230,20250903012911,,,,Fuel oil,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbd25437,charleroi,VBD25437,165000,0,To renovate,0,On contract,2,90,0,1,,1,,,,,,8,,,,"No, certificate does not comply",0,,no flooding area,,1197,1,,206,,14/05/2035,,,,Double glass,,,1,,
https://immovlan.be/en/detail/duplex/for-sale/6032/mont-sur-marchienne/vbd25394,mont-sur-marchienne,VBD25394,285000,0,,0,,3,130,,1,,,,3,,,,28,,,,,,,,,,1,,196,20250720004540,,,,Not specified,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6061/montignies-sur-sambre/vbd24628,montignies-sur-sambre,VBD24628,185000,0,,0,,2,75,0,,1,0,1,,,,,,,,,"yes, certificate in accordance",,,,,,1,,334,20221107023750,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/rbu27904,gilly,RBU27904,69000,0,To be renovated,0,Immediately,1,,,1,1,,1,2,,,,7,,,1,"No, certificate does not comply",0,,,,,,,670,20230926000745,,0,,Gas,,0,0,,,
https://immovlan.be/en/detail/duplex/for-sale/6060/gilly/vbd26889,gilly,VBD26889,169900,0,To renovate,1,Immediately,3,116,0,1,,0,,,,,,15,,1,1,"No, certificate does not comply",0,,no flooding area,,,,,215,,06/05/2026,,,Gas,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/vbd26803,gilly,VBD26803,549000,0,Normal,,,8,240,0,4,,,,3,,,,5,,1,1,"yes, certificate in accordance",,,,,,1,,466,,29/06/2030,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/vbd28068,gilly,VBD28068,110000,0,Normal,1,,2,90,0,1,,,,,,,,,,1,1,"yes, certificate in accordance",0,,,,736,,,141,,07/08/2035,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6000/charleroi/vbc84264,charleroi,VBC84264,118500,0,Excellent,0,,,53,0,,1,0,,2,,,,,12 m,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/6060/gilly/rbu38410,gilly,RBU38410,79000,0,To be renovated,0,Immediately,1,,,1,,,1,2,,,,6,,,1,"No, certificate does not comply",0,,,,,1,,794,20230927001685,,0,,Gas,Double glass,0,0,,,
