url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,surface_of_living_room,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,garden,surface_garden,terrace,total_land_surface,buildable_surface,ground_depth,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,609af22983804603bea6649c89f568ac_pdf,property_type,build_year,total_surface,cellar,surface_of_the_cellar_s_,attic,wash_room,garage,number_of_parking_spaces_indoor_,kitchen_equipment,kitchen_type,surface_kitchen,type_of_glazing,alarm,fireplace,adaptations_for_elderlies,access_for_disabled,number_of_facades,number_of_parking_places_outdoor_,garden_orientation,sewer_connection,running_water,rain_water_tank,yearly_total_primary_energy_consumption,certification_gasoil_tank,building_permission_granted,g_score,p_score,water_sensitive_open_space_areas,the_property_and_or_its_surroundings_are_protected_,frontage_width,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,number_of_floors,terrain_width_at_the_roadside,gas,swimming_pool,certification_electrical_installation_validity,planning_permission_granted,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf,postal_code,municipality,number_of_garages,floor_of_appartment,surface_terrace,validity_date_epc_peb,certification_as_build_,air_conditioning,balcony,entry_phone,vat_applied_,solar_panels,floor_heating,level_e,level_k,number_of_showers,co2_emission
https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu20484,antwerp,RBU20484,490000.0,,0.0,Fully renovated,,,3.0,117.0,,,1.0,,Solar energy,0.0,,,,,88.0,,,17.0,11002-G-OMV_2019099307/EP14854/A001/D07/SD001,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20383,ekeren,RBU20383,309000.0,,0.0,To be renovated,0.0,On contract,3.0,159.0,0.0,,1.0,2.0,Gas,0.0,North-west,,,,195.0,,,534.0,20250811-0003662652-RES-1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20382,ekeren,RBU20382,309000.0,550.0,0.0,Normal,0.0,On contract,3.0,167.0,0.0,,1.0,1.0,Gas,0.0,North,,,,230.0,,,429.0,2141504,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20695,hoboken,RBU20695,349000.0,,0.0,,0.0,On contract,5.0,189.0,,,2.0,2.0,Not specified,0.0,North,,,,195.0,,,252.0,3467280-RES-1,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20192,merksem,RBU20192,315000.0,979.0,0.0,Normal,0.0,Negotiable,4.0,186.0,0.0,,1.0,2.0,Gas,0.0,,,78.0,,174.0,97.0,30 m,361.0,3579940,"yes, certificate in accordance",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20697,hoboken,RBU20697,355000.0,,0.0,,0.0,On contract,7.0,333.0,,,3.0,5.0,Gas,0.0,South-east,,,,216.0,,,383.0,20201022-0002330872-RES-1,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu20703,antwerp,RBU20703,1095000.0,1302.0,0.0,Fully renovated,,,4.0,,,,2.0,,Gas,0.0,,,,,,,,99.0,11002-G-OMV_2022077521/EP14805/A001/D01/SD001,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23166,hoboken,RBU23166,199000.0,497.0,0.0,To be renovated,0.0,,1.0,116.0,0.0,24.0,1.0,2.0,Electricity,0.0,,,,,58.0,58.0,14 m,493.0,20250803-0003657875-RES-2,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu23653,deurne,RBU23653,219000.0,,0.0,To be renovated,0.0,On contract,2.0,134.0,0.0,28.0,1.0,,Not specified,0.0,South,,40.0,,111.0,,,495.0,202507180003650008RES1,"No, certificate does not comply",0.0,"Residential zone (residential, urban)",,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu23315,antwerp,RBU23315,665000.0,649.0,0.0,Fully renovated,,,4.0,190.0,0.0,,2.0,,Gas,0.0,,,,,57.0,,,219.0,20200604-0002276805-RES-1,,,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt45088,antwerp,RBT45088,469000.0,1668.0,0.0,Normal,0.0,On contract,2.0,238.0,0.0,,1.0,2.0,Gas,0.0,North-east,,,,110.0,110.0,22 m,151.0,Certificaat-20250526-0003610075-RES-1,"No, certificate does not comply",,,no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt48197,antwerp,RBT48197,495000.0,,0.0,Normal,0.0,On contract,4.0,333.0,0.0,,2.0,2.0,Gas,0.0,North-east,,,,209.0,170.0,28 m,368.0,202411114-0003438929-RES-2,"No, certificate does not comply",1.0,"Residential zone (residential, urban)",no flooding area,,,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
