url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbu64834,2310,rijkevorsel,RBU64834,428000,0,0,On contract,4,,,,,1,2,Gas,0,East,2,,,,0,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8904/zuidschote/rbu64837,8904,zuidschote,RBU64837,199000,0,0,Immediately,4,,,1,1,11,,Gas,0,South-west,2,2,,,466,,"Residential area of cultural, historical value",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8470/gistel/rbu64838,8470,gistel,RBU64838,259000,0,0,On contract,4,,,1,1,1,2,Gas,0,,2,,,,516,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/3650/dilsen-stokkem/rbu64840,3650,dilsen-stokkem,RBU64840,265000,0,0,,3,,,,,1,2,Gas,0,West,3,,,,270,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/1050/elsene/vbd48423,1050,elsene,VBD48423,2650000,,0,On contract,5,0,,1,2,4,5,Gas,1,,3,4,,,39,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/8930/lauwe/vbd48426,8930,lauwe,VBD48426,324900,0,1,On contract,3,0,,,,1,,Gas,0,,3,,,,289,,,,
https://immovlan.be/en/detail/residence/for-sale/6700/arlon/vbd48428,6700,arlon,VBD48428,420000,0,,On contract,3,0,1,1,1,1,2,Gas,0,,3,3,,,211,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/mixed-building/for-sale/5000/namur/vbd48429,5000,namur,VBD48429,735000,0,1,,6,0,,,,5,6,Gas,0,,2,3,,,220,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/8730/beernem/rbu64802,8730,beernem,RBU64802,635000,0,0,,4,,,1,1,1,2,,,,,,,,,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64803,9041,oostakker,RBU64803,449501,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64804,9041,oostakker,RBU64804,421293,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64805,9041,oostakker,RBU64805,421214,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64806,9041,oostakker,RBU64806,421147,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64807,9041,oostakker,RBU64807,449657,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64808,9041,oostakker,RBU64808,448485,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64809,9041,oostakker,RBU64809,402975,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64810,9041,oostakker,RBU64810,468923,,0,,4,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64811,9041,oostakker,RBU64811,466331,,0,,4,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64812,9041,oostakker,RBU64812,468923,,0,,4,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64813,9041,oostakker,RBU64813,403136,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64814,9041,oostakker,RBU64814,403136,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64815,9041,oostakker,RBU64815,403136,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64816,9041,oostakker,RBU64816,447745,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/3582/koersel/rbu64843,3582,koersel,RBU64843,249000,0,0,On contract,3,,,1,1,1,1,Fuel oil,0,North-west,2,2,,,826,,"Residential zone (residential, urban)",no flooding area,
