url,municipality_url,property_id,price,vat,state_of_the_property,build_year,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,furnished,surface_of_living_room,attic,kitchen_equipment,kitchen_type,surface_kitchen,number_of_bathrooms,number_of_toilets,type_of_heating,type_of_glazing,elevator,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,terrace,total_land_surface,terrain_width_at_the_roadside,sewer_connection,gas,running_water,swimming_pool,specific_primary_energy_consumption,certification_electrical_installation,certification_electrical_installation_validity,building_permission_granted,planning_permission_granted,preemption_right,g_score,p_score,flooding_area_type,demarcated_flooding_area,water_sensitive_open_space_areas,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu64860,aalst,RBU64860,410000,0,To renovate,None,None,4,None,None,None,None,280,None,None,1,Fully equipped,Western kitchen,None,1,None,Hot air,Double glass,None,None,3,9 m,None,2,None,None,637,9 m,1,None,1,None,202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9308/gijzegem/rbu64859,gijzegem,RBU64859,410000,0,To renovate,None,None,4,None,None,None,None,280,None,None,1,Fully equipped,Western kitchen,None,1,None,Hot air,Double glass,None,None,3,9 m,None,2,None,None,637,9 m,1,None,1,None,202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4100/seraing/vbd48462,seraing,VBD48462,285000,0,Excellent,None,On contract,4,18,18,12,9,151,0,13,None,Fully equipped,Western kitchen,8,1,2,Gas,None,0,None,2,None,2,None,None,None,250,None,1,1,1,0,161,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbu64862,rijkevorsel,RBU64862,375000,0,Normal,1966,None,3,26,11,8,None,178,0,35,None,Partially equipped,Kitchenette,None,1,1,None,Double glass,None,East,3,7 m,1,4,None,None,600,7 m,1,1,1,None,218,"No, certificate does not comply",None,1,0,0,A,A,no flooding area,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4683/vivegnis/vbd48463,vivegnis,VBD48463,65000,0,Normal,None,None,4,19,None,None,None,None,None,30,None,Fully equipped,Western kitchen,12,2,None,Gas,Double glass,0,None,3,None,2,2,None,None,None,None,None,None,None,0,520,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1640/sint-genesius-rode/vbd48471,sint-genesius-rode,VBD48471,2500000,None,New,1974,Immediately,5,20,18,16,15,480,None,None,None,Super equipped,None,None,5,5,Gas,None,0,None,4,None,2,None,None,None,2200,None,None,None,None,0,248,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/mixed-building/for-sale/4000/liege/vbd48472,liege,VBD48472,299000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,398,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9240/zele/rbu64863,zele,RBU64863,459000,0,Excellent,2014,None,3,None,None,None,None,187,None,None,1,Super equipped,None,None,1,2,Hot air,Double glass,None,None,2,None,None,1,None,None,340,None,1,1,1,0,7,"yes, certificate in accordance",None,1,1,0,B,B,None,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9600/ronse/rbu64868,ronse,RBU64868,299500,0,Excellent,1950,On contract,4,None,None,None,None,165,0,28,1,Fully equipped,Western kitchen,None,1,2,Gas,Double glass,0,None,3,None,2,1,None,None,131,None,1,1,1,0,288,None,None,0,0,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbu64869,deinze,RBU64869,431115,None,New,2025,None,4,None,None,None,None,175,0,None,1,Super equipped,None,None,2,2,Gas,Double glass,0,None,3,6 m,3,2,None,None,218,6 m,None,None,None,0,None,"yes, certificate in accordance",None,1,None,None,A,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/8540/deerlijk/rbu64871,deerlijk,RBU64871,379000,0,Normal,2012,None,3,11,11,11,None,137,0,28,1,None,None,13,1,2,Gas,Double glass,0,None,3,7 m,None,3,None,None,354,7 m,0,1,1,0,86,"yes, certificate in accordance",None,1,0,0,A,A,no flooding area,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4140/sprimont/vbd48478,sprimont,VBD48478,530000,0,Excellent,None,On contract,6,None,None,None,None,358,1,40,None,Partially equipped,Kitchenette,None,3,None,Fuel oil,None,None,None,3,None,None,None,None,None,352,None,1,None,1,None,384,"No, certificate does not comply",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4141/louveigne/vbd48477,louveigne,VBD48477,530000,0,Excellent,None,On contract,6,None,None,None,None,358,1,40,None,Partially equipped,Kitchenette,None,3,None,Fuel oil,None,None,None,3,None,None,None,None,None,352,None,1,None,1,None,384,"No, certificate does not comply",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd48482,ukkel,VBD48482,785000,0,Fully renovated,1935,On contract,3,19,13,20,None,128,0,41,1,Super equipped,None,None,2,2,Gas,Double glass,0,None,2,6 m,2,None,None,None,115,6 m,1,1,1,0,152,"yes, certificate in accordance",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1495/sart-dames-avelines/vbd48487,sart-dames-avelines,VBD48487,280000,0,To be renovated,None,None,4,19,11,8,7,130,0,35,1,None,None,None,1,1,Not specified,Double glass,None,None,3,None,None,None,None,None,2000,None,0,None,1,None,402,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9100/sint-niklaas/rbu64877,sint-niklaas,RBU64877,289000,0,Normal,1938,None,3,None,None,None,None,120,0,None,0,None,None,None,1,None,Gas,Double glass,0,None,None,None,None,None,None,None,126,None,None,None,None,None,195,None,None,None,None,None,A,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/6680/sainte-ode/vbd48492,sainte-ode,VBD48492,299000,0,Normal,None,Immediately,3,25,13,9,9,239,0,35,None,None,None,15,1,2,Fuel oil,None,0,None,4,13 m,2,2,None,None,780,13 m,None,None,None,0,210,"No, certificate does not comply",10/09/2025,None,0,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/6887/herbeumont/vbd48493,herbeumont,VBD48493,449000,0,Excellent,2020,On contract,3,22,10,24,None,238,0,37,None,None,None,7,2,2,Hot air,Triple glass,0,East,4,28 m,2,5,None,None,738,28 m,1,None,1,0,67,"yes, certificate in accordance",07/01/2020,1,0,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64894,nazareth,RBU64894,352776,None,New,2024,None,3,13,8,9,None,169,0,20,None,Fully equipped,Western kitchen,11,1,2,Hot air,Double glass,0,East,2,5 m,3,None,None,None,138,5 m,1,None,1,0,None,"yes, certificate in accordance",None,1,1,0,None,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64896,nazareth,RBU64896,353109,None,New,2024,None,3,13,8,8,None,169,0,20,None,Fully equipped,Western kitchen,8,1,2,Hot air,Double glass,0,East,2,5 m,3,None,None,None,138,5 m,1,None,1,0,None,"yes, certificate in accordance",None,1,1,0,None,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/2890/sint-amands/rbu64909,sint-amands,RBU64909,625000,0,Normal,2015,Negotiable,2,None,None,None,None,251,0,None,1,None,None,None,1,2,Gas,None,0,North-east,3,8 m,None,2,None,None,585,None,None,1,1,None,97,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/3945/ham/rbu64904,ham,RBU64904,449000,0,Normal,1932,On contract,3,None,None,None,None,271,0,None,None,None,None,None,1,2,Gas,None,0,South-east,3,None,None,2,None,None,753,None,None,1,1,None,200,"No, certificate does not comply",None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9810/nazareth/rbu64895,nazareth,RBU64895,347551,None,New,2024,None,3,13,8,8,None,169,0,20,None,Fully equipped,Western kitchen,11,1,2,Hot air,Double glass,0,East,2,5 m,3,None,None,None,138,5 m,1,None,1,0,None,"yes, certificate in accordance",None,1,1,0,None,A,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/cottage/for-sale/8940/wervik/vbd48530,wervik,VBD48530,None,0,Normal,1978,On contract,3,None,None,None,None,None,0,None,1,Super equipped,None,None,1,None,Hot air,Double glass,0,None,4,None,None,10,None,None,13871,None,1,1,1,1,91,"yes, certificate in accordance",None,0,0,0,A,A,None,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4480/engis/vbd48527,engis,VBD48527,129000,0,To renovate,1930,None,3,15,13,10,None,122,0,17,1,Fully equipped,Western kitchen,13,1,2,Gas,Double glass,0,South-west,2,5 m,2,None,None,None,125,5 m,1,1,1,0,296,None,None,1,0,0,None,None,no flooding area,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1950/kraainem/vbd48520,kraainem,VBD48520,1600000,0,To renovate,1954,On contract,6,None,None,None,None,650,0,None,1,Fully equipped,Western kitchen,None,3,None,Gas,None,0,None,4,None,1,5,None,None,3466,None,1,1,None,1,517,"No, certificate does not comply",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4340/awans/vbd48516,awans,VBD48516,325000,0,Excellent,1953,On contract,3,22,14,14,None,140,None,29,1,Fully equipped,Western kitchen,7,1,2,Gas,Double glass,0,None,4,None,2,5,None,None,743,None,1,1,None,0,295,"yes, certificate in accordance",None,None,None,None,None,None,None,None,None,None,None,None,None,None
