url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/villa/for-sale/5660/aublain/vbd45575,5660,aublain,VBD45575,315 000 €,No,No,,4,No,Yes,Yes,,1,1,Not specified,No,,,,No,Yes,342 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6230/obaix/vbd45576,6230,obaix,VBD45576,160 000 €,No,No,,2,No,,,,1,1,Fuel oil,No,,,,No,No,397 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6500/leugnies/vbd45578,6500,leugnies,VBD45578,260 000 €,No,No,,2,No,,Yes,,1,1,Fuel oil,No,,,,No,Yes,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd45580,5660,aublain,VBD45580,525 000 €,No,No,,4,No,Yes,Yes,,1,2,Not specified,No,South,,,No,Yes,124 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7700/mouscron/vbd45600,7700,mouscron,VBD45600,595 000 €,No,No,On contract,3,,,Yes,2,2,3,Not specified,No,South,2,1,Yes,Yes,95 kWh/m²/year,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9600/ronse/rbu60206,9600,ronse,RBU60206,,No,No,On contract,3,No,Yes,Yes,1,1,,,No,,4,3,Yes,Yes,558 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd45664,6200,chatelet,VBD45664,169 000 €,No,No,,3,No,,,,1,1,Gas,No,West,2,2,Yes,Yes,379 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6560/erquelinnes/vbd45768,6560,erquelinnes,VBD45768,190 000 €,No,No,On contract,3,No,Yes,Yes,1,1,2,Fuel oil,No,,4,2,Yes,Yes,764 kWh/m²/year,No certificate,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7022/hyon/vbd45814,7022,hyon,VBD45814,345 000 €,No,,,2,No,,Yes,1,1,2,,,,4,3,Yes,,360 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/6540/lobbes/vbd45817,6540,lobbes,VBD45817,345 000 €,No,No,,6,No,Yes,Yes,1,2,1,Electricity,No,South-east,4,,Yes,Yes,155 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/4190/xhoris/vbd45833,4190,xhoris,VBD45833,175 000 €,No,,On contract,1,,Yes,Yes,,1,1,Fuel oil,No,,2,4,,Yes,129 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbu60572,8000,brugge,RBU60572,345 000 €,No,No,,1,,,,,1,1,,,,,,Yes,Yes,352 kWh/m²/year,No certificate,"Residential area of cultural, historical value",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/7090/braine-le-comte/vbd46079,7090,braine-le-comte,VBD46079,225 000 €,No,,On contract,4,No,,,,1,2,,No,,2,3,Yes,Yes,339 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/bungalow/for-sale/8930/menen/rwc41129,8930,menen,RWC41129,250 000 €,No,No,On contract,3,,No,Yes,,1,,Gas,No,,2,,Yes,Yes,339 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/villa/for-sale/6110/montigny-le-tilleul/vbd46156,6110,montigny-le-tilleul,VBD46156,229 000 €,No,No,On contract,3,No,Yes,Yes,2,1,1,,No,South,4,,Yes,Yes,442 kWh/m²/year,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5300/vezin/vbd46238,5300,vezin,VBD46238,299 500 €,No,No,,3,No,Yes,Yes,1,1,2,Fuel oil,No,North-east,3,1,Yes,Yes,416 kWh/m²/year,"No, certificate does not comply",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/2840/terhagen/rbu60881,2840,terhagen,RBU60881,309 000 €,No,No,On contract,3,No,Yes,,,1,2,Gas,No,West,2,,Yes,No,165 kWh/m²/year,"yes, certificate in accordance","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/2200/herentals/rbu61001,2200,herentals,RBU61001,425 000 €,No,No,On contract,3,No,,Yes,1,1,3,Gas,No,West,2,,Yes,Yes,482 kWh/m²/year,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8530/harelbeke/rbu61275,8530,harelbeke,RBU61275,265 000 €,No,No,,2,,Yes,Yes,1,1,1,Gas,,,,,Yes,Yes,522 kWh/m²/year,"No, certificate does not comply","Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8940/wervik/rwc41138,8940,wervik,RWC41138,249 000 €,No,No,On contract,5,,No,,,1,,Not specified,No,,2,,Yes,Yes,272 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/master-house/for-sale/7060/soignies/vbd46457,7060,soignies,VBD46457,480 000 €,No,Yes,,6,,Yes,Yes,7,2,3,Fuel oil,No,,4,2,Yes,Yes,321 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5500/dinant/vbd46459,5500,dinant,VBD46459,259 000 €,No,No,Immediately,3,,,,,1,2,Gas,No,,2,3,No,Yes,100 kWh/m²/year,"yes, certificate in accordance",,,(information not available)
https://immovlan.be/en/detail/residence/for-sale/3090/overijse/vbd46490,3090,overijse,VBD46490,420 000 €,No,No,,3,No,Yes,Yes,1,1,2,Fuel oil,,,4,,Yes,Yes,498 kWh/m²/year,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9800/astene/rbu61377,9800,astene,RBU61377,445 000 €,No,No,,4,,Yes,Yes,,1,2,,,,,,Yes,No,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6040/jumet/rbu61388,6040,jumet,RBU61388,135 000 €,No,No,On contract,2,No,Yes,,,1,1,Fuel oil,No,,3,2,Yes,Yes,417 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1390/grez-doiceau/vbd46603,1390,grez-doiceau,VBD46603,425 000 €,No,No,,3,No,,Yes,1,1,2,,No,,,,Yes,Yes,420 kWh/m²/year,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6200/bouffioulx/vbd46619,6200,bouffioulx,VBD46619,349 000 €,No,,,3,,Yes,Yes,1,1,2,Gas,No,,4,,Yes,Yes,240 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/9550/herzele/rbu61494,9550,herzele,RBU61494,379 000 €,No,No,Immediately,2,No,,Yes,1,1,2,,No,,,,Yes,Yes,55 kWh/m²/year,"yes, certificate in accordance","Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/5380/hingeon/vbd46729,5380,hingeon,VBD46729,175 000 €,No,No,On contract,3,No,Yes,Yes,1,,1,Fuel oil,No,South-east,3,1,Yes,Yes,638 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1350/jandrain-jandrenouille/vbd46747,1350,jandrain-jandrenouille,VBD46747,990 000 €,No,No,Immediately,7,No,Yes,Yes,2,3,4,Fuel oil,No,,4,3,Yes,Yes,177 kWh/m²/year,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61948,3900,pelt,RBU61948,353 000 €,,No,,3,,,,,1,,,,,3,,Yes,,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61953,3900,pelt,RBU61953,332 500 €,,No,,3,,,,,1,,,,,2,,Yes,,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61956,3900,pelt,RBU61956,331 000 €,,No,,3,,,,,1,,,,,2,,Yes,No,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61965,3900,pelt,RBU61965,328 500 €,,No,,3,,,Yes,,1,,,,,2,,Yes,Yes,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61966,3900,pelt,RBU61966,327 500 €,,No,,3,,,Yes,,1,,,,,2,,Yes,No,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61968,3900,pelt,RBU61968,341 000 €,,No,,3,,,Yes,,1,,,,,3,,Yes,No,,No certificate,Area info not available,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6060/gilly/vbd46833,6060,gilly,VBD46833,229 000 €,No,No,,5,No,Yes,Yes,1,2,2,Gas,No,,3,,No,Yes,224 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6560/solre-sur-sambre/vbd46869,6560,solre-sur-sambre,VBD46869,125 000 €,No,No,,3,,Yes,,,1,,Not specified,,,2,,Yes,No,291 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6560/bersillies-l-abbaye/vbd46872,6560,bersillies-l-abbaye,VBD46872,158 000 €,No,No,,4,,,Yes,1,,,Not specified,,,4,,Yes,No,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8551/heestert/rbu62084,8551,heestert,RBU62084,174 000 €,No,No,On contract,5,,Yes,Yes,4,1,1,Gas,No,North-east,3,2,Yes,No,880 kWh/m²/year,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6240/farciennes/vbd46983,6240,farciennes,VBD46983,129 000 €,No,No,,1,No,,,,1,1,Gas,No,,4,,Yes,No,252 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rbu62147,8370,blankenberge,RBU62147,449 000 €,No,No,,3,,Yes,Yes,1,1,1,,,,4,,Yes,Yes,784 kWh/m²/year,"No, certificate does not comply","Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8800/roeselare/rbu62390,8800,roeselare,RBU62390,279 000 €,No,No,On contract,4,,Yes,,,1,1,Gas,No,,2,,Yes,No,148 kWh/m²/year,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5621/hanzinelle/vbd47182,5621,hanzinelle,VBD47182,150 000 €,No,No,,6,No,Yes,,,1,1,,No,,2,,No,Yes,112 kWh/m²/year,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7000/mons/rbu62399,7000,mons,RBU62399,195 000 €,No,No,Negotiable,2,No,,,,1,2,Gas,No,South,,,Yes,Yes,129 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6560/solre-sur-sambre/rbu62400,6560,solre-sur-sambre,RBU62400,80 000 €,No,No,Immediately,3,No,Yes,Yes,1,1,1,Coal,No,East,3,,No,Yes,970 kWh/m²/year,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/9400/voorde/rbu62441,9400,voorde,RBU62441,549 000 €,,No,Immediately,3,No,Yes,Yes,,1,2,,No,,,,Yes,Yes,-2 kWh/m²/year,"yes, certificate in accordance","Residential zone (residential, urban)",(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/8560/gullegem/rbu62532,8560,gullegem,RBU62532,378 000 €,No,No,,3,,,,,1,2,Gas,No,North-west,2,,Yes,Yes,84 kWh/m²/year,,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/8552/moen/rbu62561,8552,moen,RBU62561,345 000 €,No,No,On contract,3,,Yes,,,1,2,Gas,No,East,2,2,Yes,Yes,29 kWh/m²/year,,Extended area of residence,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/5190/jemeppe-sur-sambre/vbd47422,5190,jemeppe-sur-sambre,VBD47422,195 000 €,No,,On contract,2,No,Yes,,,1,2,Fuel oil,No,South-east,4,4,Yes,No,309 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/9630/zwalm/rbu62977,9630,zwalm,RBU62977,169 000 €,No,No,,3,,,,,1,,,,,,,Yes,No,1119 kWh/m²/year,No certificate,"Residential zone (residential, urban)",no flooding area,(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/9688/schorisse/rbu63087,9688,schorisse,RBU63087,650 000 €,No,,On contract,1,,,Yes,1,,5,Gas,No,,3,2,Yes,Yes,,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/7090/hennuyeres/rbu63284,7090,hennuyeres,RBU63284,750 000 €,No,No,On contract,4,No,Yes,Yes,2,1,2,Fuel oil,No,East,4,,Yes,Yes,160 kWh/m²/year,"yes, certificate in accordance",,(information not available),(information not available)
https://immovlan.be/en/detail/villa/for-sale/7180/seneffe/vwd15538,7180,seneffe,VWD15538,410 000 €,No,,Negotiable,4,,Yes,Yes,,2,,Fuel oil,No,North-west,4,,Yes,Yes,223 kWh/m²/year,"No, certificate does not comply",,no flooding area,(information not available)
